1,"Hollow Knight Silksong",Steam,$19.99,silksong.jpg
2,Palworld,Steam,$29.99,palworld.png.jpg
3,"Legend of Slime - Idle RPG","Google Play",Free,"legend of slime.jpg"
4,"Rain World",Steam,$39.99,"rain world.jpg"
